=== SETTINGS ===
{'noise_lvl': 1, 'level': 2, 'add_noise': [('a', 0.1)], 'inner': 'a', 'noise_dens': 0.3, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
419.800342 579.735086 1336.669406
609.370977 975.824479 2106.865183
322.467709 426.580023 936.897166
813.373608 1049.045425 2765.895835
310.383273 330.799282 878.628824
668.874617 890.624867 2319.876278
316.267916 409.848545 916.956496
805.472065 1146.144119 2946.130213
446.784563 490.373273 1378.072349
412.979304 522.742330 1291.286394
842.047452 1197.689533 3111.337344
785.243973 979.350469 2782.525905
328.591031 383.130394 986.953994
229.500201 236.099183 601.883312
320.174124 432.294410 1023.872248
290.563662 405.118268 876.794471
526.448558 765.219433 1794.909078
481.168274 726.918288 1638.121076
232.112249 299.641912 636.107526
251.789104 341.193818 701.055420
