=== SETTINGS ===
{'noise_lvl': 1, 'level': 1, 'inner': 'a', 'noise_dens': 0.2, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': True}
20/20	(1.000)	0 << Perfect match
387.071169 387.071169 1921.933605
502.706172 502.706172 2627.433819
506.269108 506.269108 2589.142303
455.561437 455.561437 2348.861460
482.730735 482.730735 2537.814879
507.967384 507.967384 2759.405298
436.631404 436.631404 2231.411151
466.976475 466.976475 2430.105246
388.670767 388.670767 2000.736032
439.261691 439.261691 2230.873441
404.614810 404.614810 2097.966767
418.077942 418.077942 2069.738176
522.179054 522.179054 2844.170881
485.330427 485.330427 2520.984589
438.870906 438.870906 2337.889406
506.562242 506.562242 2643.492138
552.019330 552.019330 3015.752073
408.807456 408.807456 1955.823193
435.317130 435.317130 2184.722270
535.731094 535.731094 2836.915096
