=== SETTINGS ===
{'noise_lvl': 2, 'level': 1, 'add_noise': [('a', 0.1)], 'inner': 'a', 'noise_dens': 0.2, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
702.964122 939.046634 2649.474343
785.385726 1055.288217 3064.004237
703.689991 787.449681 2556.728260
782.381792 916.767163 2887.017739
865.642864 1131.213545 3255.733209
641.325227 826.283631 2431.235158
794.067135 827.208673 2884.495820
805.128418 874.466554 2986.489126
632.963051 792.774090 2377.293706
700.461898 717.922306 2536.894790
665.798704 891.305932 2541.070102
741.428902 747.959459 2613.339428
843.228268 1088.867919 3289.201723
789.892055 929.831035 3036.642808
720.624856 856.687840 2713.275683
537.265992 576.823666 1961.321265
732.783057 836.507268 2671.171577
815.470819 947.349014 3094.370186
637.555978 842.922306 2407.920904
709.572474 811.429962 2514.371973
