=== SETTINGS ===
{'noise_lvl': 0, 'level': 1, 'add_noise': [('a', 0.1)], 'inner': 'a', 'noise_dens': 0.0, 'nb_occs': 500, 'p_down': 5, 'j': 1, 'p_up': 10, 'overlap': False}
20/20	(1.000)	10 << No cover match, better code length
1454.219385 1316.400546 6159.057952
1304.063996 1180.222493 5355.815934
1229.074702 1105.956399 5229.957355
1286.184852 1145.986709 5350.391378
1306.318269 1157.989705 5359.954657
1027.905422 921.661778 4145.055693
1327.330825 1258.606637 5413.764377
1027.670455 924.676728 4196.057997
1016.852149 917.673005 4185.243414
1198.940920 1120.412218 4884.937629
1156.140368 1104.444885 4776.976800
1007.723880 970.301782 4278.302487
1272.268254 1216.682795 5037.171174
1423.750521 1297.225763 5785.020453
1121.172007 1072.402346 4621.144819
1489.124944 1410.826350 6433.116088
1443.707812 1414.813150 6080.973103
1486.667749 1303.145594 6050.892954
1441.175231 1352.292886 5959.838905
1106.989431 1010.001628 4507.098719
