=== SETTINGS ===
{'noise_lvl': 1, 'level': 1, 'add_noise': [('a', 0.1)], 'inner': 'a', 'noise_dens': 0.3, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
687.779053 808.649705 2636.998465
617.320448 662.969207 2193.737987
769.767532 837.386065 2804.622767
766.676425 799.156834 2767.719072
712.731946 957.504072 2717.720259
613.243398 718.354800 2224.022820
855.596466 1141.535123 3330.480015
765.642775 831.397842 2832.012674
815.099817 1050.118748 3068.829460
729.934126 877.788999 2773.253402
823.848699 1099.967596 3155.080590
653.990218 845.912191 2486.315471
831.237589 1102.194492 3316.653995
825.895149 873.362218 2984.480101
598.107071 607.631404 2017.966191
728.767269 845.631404 2759.838322
575.080890 643.085804 2060.739711
715.818815 864.732167 2653.653113
747.948296 968.084684 2855.583433
875.585951 1077.377411 3259.468891
