=== SETTINGS ===
{'noise_lvl': 3, 'level': 1, 'inner': 'a', 'noise_dens': 0.3, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	0 << Perfect match
505.002222 505.002222 2104.469480
603.021674 603.021674 2747.563394
554.060949 554.060949 2385.458768
525.084684 525.084684 2244.296722
459.589359 459.589359 1963.470656
492.254733 492.254733 2079.753261
577.868304 577.868304 2554.346695
570.630253 570.630253 2623.946160
599.059809 599.059809 2827.960854
460.615199 460.615199 2004.326982
495.947180 495.947180 2013.945992
498.825344 498.825344 2257.300772
621.737168 621.737168 2851.867638
605.337970 605.337970 2731.269013
520.376939 520.376939 2288.550621
667.767163 667.767163 2918.388354
666.203262 666.203262 3023.257291
600.197831 600.197831 2885.437801
475.214319 475.214319 2014.140399
576.140750 576.140750 2759.875962
