=== SETTINGS ===
{'noise_lvl': 3, 'level': 2, 'add_noise': [('a', 0.1)], 'inner': 'a', 'noise_dens': 0.1, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
605.441186 841.132500 2189.533155
798.335521 1197.429552 2962.588118
395.900939 548.311084 1303.111086
651.571306 930.203721 2371.421047
426.972145 451.322844 1447.599019
426.565066 579.292821 1391.776208
745.078475 889.922306 2574.369120
722.684484 873.681554 2706.089250
236.657393 333.085155 672.528421
294.567745 374.996364 865.553894
252.614897 332.028621 747.934064
669.153314 1333.252919 2385.560188
520.127055 676.688388 1774.438107
504.853918 562.759108 1721.021765
410.858788 485.624466 1384.052632
579.174061 881.275623 2003.626966
547.023402 907.738917 1961.024235
246.092307 328.089413 674.385208
666.580494 930.415995 2377.149866
612.532948 835.106918 2127.335448
