=== SETTINGS ===
{'noise_lvl': 2, 'level': 2, 'add_noise': [('a', 0.1)], 'inner': 'a', 'noise_dens': 0.2, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
600.513240 718.084924 1986.554106
569.194334 814.164953 1895.816227
615.236359 1255.429669 2151.820772
730.564797 953.743002 2501.780504
436.422132 748.484275 1422.089779
262.768738 380.961848 746.012291
676.865462 927.511902 2302.804959
616.273884 804.478548 2067.582075
446.805717 577.759810 1502.805953
502.362505 712.145930 1669.639876
602.096623 695.855550 2019.242340
399.532207 484.873180 1289.941329
608.560640 855.581608 2103.757017
295.115307 306.019330 831.757424
290.095890 341.866023 795.221046
548.170805 819.137253 1811.022780
547.349390 680.191078 1851.191341
548.591140 671.812879 1808.122888
661.948374 955.870906 2324.172272
693.459290 923.358971 2462.472477
