=== SETTINGS ===
{'noise_lvl': 2, 'level': 1, 'add_noise': [('a', 0.1)], 'inner': 'a', 'noise_dens': 0.1, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
806.614291 987.924813 3079.674201
700.669122 905.023722 2852.719419
769.766280 888.644772 2971.336593
638.498159 681.081317 2394.622456
649.491531 737.283342 2401.048835
752.442758 916.867327 2947.026478
600.903660 773.924080 2345.613282
625.891870 845.889756 2461.127320
665.507450 855.871231 2659.749501
644.769187 760.590543 2519.024020
571.906114 716.595272 2259.437034
552.584635 674.144117 2089.463719
677.110753 691.989705 2681.068976
692.145557 728.090836 2632.642970
723.808494 760.156834 2772.205163
759.380598 882.714889 2946.488073
716.672413 791.337970 2700.901360
678.479534 848.068153 2684.166364
587.118386 824.909706 2282.332316
737.329879 765.185863 2838.107403
