=== SETTINGS ===
{'noise_lvl': 2, 'level': 1, 'add_noise': [('a', 0.1)], 'inner': 'a', 'noise_dens': 0.3, 'nb_occs': 500, 'p_down': 5, 'j': 1, 'p_up': 10, 'overlap': False}
20/20	(1.000)	10 << No cover match, better code length
1630.084928 1588.233817 6038.122895
1398.195049 1235.893799 4965.117084
1311.966717 1247.458791 4828.181412
1241.970975 1162.195238 4488.280241
1483.312655 1437.757703 5418.659431
1454.640056 1354.395132 5247.102368
1247.238855 1095.709811 4307.834356
1228.097439 1099.684146 4214.868420
1321.472358 1243.448374 4792.664520
1406.798300 1366.856581 5050.295085
1628.731846 1510.799554 5770.994595
1291.899743 1192.604614 4625.263061
1555.560973 1398.285294 5628.741283
1642.310048 1538.904586 6036.634069
1334.524867 1213.047209 4669.551901
1540.416341 1472.679700 5742.470802
1641.911468 1604.009043 6009.331968
1570.021945 1482.667777 5682.358754
1260.934448 1140.738594 4401.873135
1154.020150 1148.963726 4019.592651
