=== SETTINGS ===
{'noise_lvl': 0, 'level': 2, 'add_noise': [('a', 0.1)], 'inner': 'a [d=4] b', 'noise_dens': 0.0, 'nb_occs': 500, 'p_down': 10, 'j': 2, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
1763.591213 2479.786501 7642.587757
2245.286673 2858.225351 9801.068713
2174.925738 2685.988394 9652.441201
2808.610486 3978.634293 12708.832351
1011.065155 1208.956534 4122.137530
1245.195553 2001.391242 5129.509856
829.702530 1407.087370 3301.411869
962.970389 1117.755403 3736.400363
1736.665702 2341.136572 7606.040084
1835.603787 2682.187786 7920.173467
2503.270596 2792.893274 10900.258007
2123.766236 2493.526169 9400.214145
1294.196178 1810.010704 5469.848115
995.904954 1424.017454 4016.809973
2193.267494 2519.416616 9541.220988
929.036564 1204.701106 3693.659613
1477.586734 2246.214244 6361.681430
943.304488 1522.647403 3829.706487
1635.538785 2012.658011 6898.684886
2062.496202 2552.560293 8973.473733
