=== SETTINGS ===
{'noise_lvl': 0, 'level': 3, 'add_noise': [('a', 0.1)], 'inner': 'a [d=1] c [d=2] d', 'noise_dens': 0.0, 'nb_occs': 500, 'p_down': 10, 'j': 3, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
2684.733642 3415.827433 11798.558105
2165.829332 3024.714266 9462.215741
3035.848168 4984.435544 13843.451705
2032.612804 2496.987670 8597.283347
2204.465909 2626.480728 9484.628488
3440.739887 4391.757085 15508.577364
2339.217598 2629.864732 10052.593476
2551.514173 4223.778173 11204.426037
2449.631080 3681.439765 10754.000431
3614.716531 5156.782754 16487.455127
3598.189817 5013.026109 16443.867195
2032.023357 2362.075128 8711.471980
2950.770192 4000.736618 13177.037168
2907.006151 4809.644624 13049.254479
3533.864169 5194.334368 16099.956402
2074.102595 2855.793843 9015.794360
2950.942395 4624.007747 13516.019426
2077.618825 3253.203475 9054.043184
3004.251095 4072.745514 13481.648638
3037.828689 4542.758485 13731.729224
