=== SETTINGS ===
{'noise_lvl': 1, 'level': 3, 'add_noise': [('a', 0.1)], 'inner': 'a', 'noise_dens': 0.1, 'nb_occs': 500, 'p_down': 5, 'j': 1, 'p_up': 10, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
1323.701672 1878.101802 5149.879903
1281.681927 1378.075773 4869.256031
985.639091 1443.356372 3607.455991
988.643976 1762.292660 3706.623803
750.429159 776.312792 2521.738050
867.004758 1098.844868 3085.770284
751.216445 1039.759065 2676.057533
1001.882367 1746.847049 3761.198783
1034.568968 1712.473808 3955.607394
1105.804032 1169.802069 4084.736613
610.338141 862.288206 2053.619385
742.152962 993.557548 2689.445098
964.544908 1061.149087 3510.100763
1209.592484 2225.262166 4689.863209
1319.706270 2212.235133 5129.886506
851.945871 1341.927470 3206.037965
866.631348 1317.367720 3106.363632
1173.306566 2076.612467 4523.362631
850.031935 1522.788676 3129.069089
1128.926241 2052.881481 4372.180400
