=== SETTINGS ===
{'noise_lvl': 1, 'level': 2, 'add_noise': [('a', 0.1)], 'inner': 'a [d=1] c [d=2] d', 'noise_dens': 0.1, 'nb_occs': 500, 'p_down': 10, 'j': 3, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
4107.735709 4760.136019 18366.450873
3348.419483 5211.377931 15020.191396
1142.386685 1586.372240 4605.047998
2325.507166 2785.700829 9810.335506
1788.426940 2622.310874 7538.639259
4187.940960 4573.117100 18580.812529
2584.083010 3288.923114 11295.025348
2545.572059 3532.783253 10994.272648
2869.723484 3816.458323 12820.657654
2917.477555 4219.502274 13033.205872
3174.154897 3946.214852 13933.094158
4413.804163 5326.001462 19621.721471
3150.727230 4296.355491 13906.950273
1401.148888 1923.472305 5735.651222
2082.674604 2759.118410 8992.656695
1745.655198 2494.802325 7487.532562
1561.674761 2047.745824 6432.694191
2901.949947 3800.484238 13039.507316
2737.239162 3009.483669 11740.169395
4324.661897 5184.551777 19608.488561
