=== SETTINGS ===
{'noise_lvl': 1, 'level': 2, 'add_noise': [('a', 0.1)], 'inner': 'a', 'noise_dens': 0.2, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
321.867621 400.455005 984.997634
398.450389 503.123940 1292.416545
287.662524 387.765556 865.003396
293.598269 389.563585 916.145351
415.300297 738.785389 1421.527204
532.818587 733.051664 1821.690830
294.987377 432.304038 871.008249
473.397493 634.790360 1597.840656
445.759124 564.047209 1474.264720
535.569008 771.310352 1951.742157
365.404372 518.492175 1226.512077
285.271243 413.360367 863.892581
638.131877 933.042449 2289.489010
716.518585 934.575250 2610.917041
376.022690 515.333707 1251.491472
313.118303 401.385218 944.044538
234.450794 286.886744 661.292988
701.525239 863.173613 2469.080269
564.084382 1099.241203 1996.178884
521.009325 655.269602 1754.499522
