=== SETTINGS ===
{'noise_lvl': 0, 'level': 3, 'add_noise': [('a', 0.1)], 'inner': 'a [d=4] b', 'noise_dens': 0.0, 'nb_occs': 500, 'p_down': 10, 'j': 2, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
1639.056976 3236.019662 6912.246271
1986.342858 3337.237213 8790.731688
1685.517471 2562.648076 7143.393613
1437.979269 2470.463578 6113.590616
2258.085602 3145.757096 9792.762146
1283.436778 2293.539292 5283.306417
1709.947668 2245.839254 7192.430753
1826.706156 2828.380483 7853.451257
2148.084568 3781.941072 9441.269665
1848.809382 2993.157535 8082.540992
1799.411699 2551.788473 7720.637331
2125.845832 3453.372902 9209.977819
1459.088446 2339.933345 5973.594367
1250.540948 2108.641575 5122.235215
1823.889999 3267.731993 7950.020878
2259.705481 3751.258391 10046.471629
2236.994697 2651.840688 9438.111264
1715.182207 2941.088028 7249.408737
1532.298805 2195.273426 6398.231497
1470.837286 2347.505976 6088.607230
