=== SETTINGS ===
{'noise_lvl': 3, 'level': 2, 'add_noise': [('a', 0.1)], 'inner': 'a', 'noise_dens': 0.2, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
384.950750 523.263742 1176.945106
643.648435 898.580306 2202.884239
581.497967 732.611215 1882.043208
513.162937 724.292764 1701.119032
470.422634 651.899697 1531.619233
565.002449 834.952099 1888.742364
874.290528 1229.201330 3092.519799
477.987807 524.670767 1494.720400
256.746927 356.811680 776.473597
755.055920 1199.448184 2669.734609
344.227141 476.596372 955.520441
572.510743 863.699060 1939.944492
475.877253 751.576505 1629.507699
632.760559 784.678586 2182.642343
477.835525 724.142114 1591.465118
302.250366 363.671477 836.473686
321.393095 421.047699 925.779928
428.364123 683.945547 1377.988669
656.823149 715.829029 2152.946018
788.591077 1074.926314 2662.419656
